datetime,wt1,wt2,wt_diff,cross_up,cross_down,overbought,oversold,extreme_overbought,extreme_oversold,buy_signal,sell_signal,strong_buy,strong_sell,wt1_peak,wt1_trough,momentum,momentum_increasing,momentum_decreasing,ob_level1,ob_level2,os_level1,os_level2
2024-10-15 08:00:00+03:00,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,60,53,-60,-53
2024-10-15 12:00:00+03:00,33.33333333333333,,,False,False,False,False,False,False,False,False,False,False,False,False,33.33333333333333,True,False,60,53,-60,-53
2024-10-15 16:00:00+03:00,49.240087252951355,,,False,False,False,False,False,False,False,False,False,False,False,False,15.906753919618026,True,False,60,53,-60,-53
2024-10-16 08:00:00+03:00,60.939022024004224,35.878110652572225,25.060911371432,False,False,True,False,True,False,False,False,False,False,False,False,11.698934771052869,True,False,60,53,-60,-53
2024-10-16 12:00:00+03:00,63.384786683077664,51.72430732334164,11.660479359736023,False,False,True,False,True,False,False,False,False,False,False,False,2.44576465907344,True,False,60,53,-60,-53
2024-10-16 16:00:00+03:00,69.6992129307394,60.81577722269316,8.88343570804625,False,False,True,False,True,False,False,False,False,False,False,False,6.314426247661743,True,False,60,53,-60,-53
2024-10-17 08:00:00+03:00,79.7699559191609,68.44824438924554,11.321711529915362,False,False,True,False,True,False,False,False,False,False,False,False,10.0707429884215,True,False,60,53,-60,-53
2024-10-17 12:00:00+03:00,87.95977762488974,75.20343328946693,12.75634433542281,False,False,True,False,True,False,False,False,False,False,False,False,8.189821705728832,True,False,60,53,-60,-53
2024-10-17 16:00:00+03:00,91.65853983254827,82.27187157683458,9.386668255713687,False,False,True,False,True,False,False,False,False,False,True,False,3.6987622076585325,True,False,60,53,-60,-53
2024-10-18 08:00:00+03:00,89.3853766945542,87.19341251778827,2.1919641767659215,False,False,True,False,True,False,False,False,False,False,False,False,-2.273163137994075,False,True,60,53,-60,-53
2024-10-18 12:00:00+03:00,81.49552070673201,87.62480371468105,-6.1292830079490415,False,True,True,False,True,False,False,True,False,True,False,False,-7.8898559878221874,False,True,60,53,-60,-53
2024-10-18 16:00:00+03:00,70.2390319367928,83.19461729265682,-12.955585355864017,False,False,True,False,True,False,False,False,False,False,False,False,-11.25648876993921,False,True,60,53,-60,-53
2024-10-21 08:00:00+03:00,54.383702989563474,73.87590808191061,-19.492205092347135,False,False,True,False,False,False,False,False,False,False,False,False,-15.855328947229324,False,True,60,53,-60,-53
2024-10-21 12:00:00+03:00,40.154551168076466,61.56820170029119,-21.413650532214724,False,False,False,False,False,False,False,False,False,False,False,False,-14.229151821487008,False,True,60,53,-60,-53
2024-10-21 16:00:00+03:00,28.267771250324607,48.261264336189335,-19.993493085864728,False,False,False,False,False,False,False,False,False,False,False,False,-11.88677991775186,False,True,60,53,-60,-53
2024-10-22 08:00:00+03:00,19.65565864543739,35.615421013350485,-15.959762367913093,False,False,False,False,False,False,False,False,False,False,False,False,-8.612112604887216,False,True,60,53,-60,-53
2024-10-22 12:00:00+03:00,16.11306380141306,26.04776121631288,-9.934697414899823,False,False,False,False,False,False,False,False,False,False,False,False,-3.5425948440243324,False,True,60,53,-60,-53
2024-10-22 16:00:00+03:00,13.6923615421147,19.43221380982244,-5.7398522677077395,False,False,False,False,False,False,False,False,False,False,False,False,-2.420702259298359,False,True,60,53,-60,-53
2024-10-23 08:00:00+03:00,4.382203944965491,13.46082198348266,-9.078618038517169,False,False,False,False,False,False,False,False,False,False,False,False,-9.310157597149209,False,True,60,53,-60,-53
2024-10-23 12:00:00+03:00,-4.341294062225222,7.461583806567007,-11.80287786879223,False,False,False,False,False,False,False,False,False,False,False,False,-8.723498007190713,False,True,60,53,-60,-53
2024-10-23 16:00:00+03:00,-11.700295098432079,0.5082440816057225,-12.208539180037802,False,False,False,False,False,False,False,False,False,False,False,False,-7.359001036206857,False,True,60,53,-60,-53
2024-10-24 08:00:00+03:00,-13.871586462592534,-6.382742919571086,-7.4888435430214475,False,False,False,False,False,False,False,False,False,False,False,True,-2.1712913641604548,False,True,60,53,-60,-53
2024-10-24 12:00:00+03:00,-13.299220804460825,-10.803099106927665,-2.4961216975331606,False,False,False,False,False,False,False,False,False,False,False,False,0.5723656581317087,True,False,60,53,-60,-53
2024-10-24 16:00:00+03:00,-10.022896590186772,-12.223499738918054,2.2006031487312825,True,False,False,False,False,False,False,False,False,False,False,False,3.2763242142740534,True,False,60,53,-60,-53
2024-10-25 08:00:00+03:00,-5.697072068504149,-10.722693981436072,5.025621912931922,False,False,False,False,False,False,False,False,False,False,True,False,4.325824521682622,True,False,60,53,-60,-53
2024-10-25 12:00:00+03:00,-6.395807600025663,-8.853749265794352,2.457941665768689,False,False,False,False,False,False,False,False,False,False,False,True,-0.698735531521514,False,True,60,53,-60,-53
2024-10-25 16:00:00+03:00,-0.35016773606917706,-5.61648599869644,5.266318262627263,False,False,False,False,False,False,False,False,False,False,False,False,6.045639863956486,True,False,60,53,-60,-53
2024-10-28 08:00:00+03:00,7.647574012144834,-1.198868348113539,8.846442360258372,False,False,False,False,False,False,False,False,False,False,False,False,7.997741748214011,True,False,60,53,-60,-53
2024-10-28 12:00:00+03:00,10.439008218700852,2.8351517236877113,7.603856495013141,False,False,False,False,False,False,False,False,False,False,True,False,2.7914342065560183,True,False,60,53,-60,-53
2024-10-30 08:00:00+03:00,9.36966263838575,6.776519283290565,2.593143355095185,False,False,False,False,False,False,False,False,False,False,False,True,-1.0693455803151029,False,True,60,53,-60,-53
2024-10-30 12:00:00+03:00,14.556030480837165,10.50306883751715,4.052961643320016,False,False,False,False,False,False,False,False,False,False,False,False,5.186367842451416,True,False,60,53,-60,-53
2024-10-30 16:00:00+03:00,21.17987649999433,13.886144459479523,7.293732040514806,False,False,False,False,False,False,False,False,False,False,False,False,6.623846019157163,True,False,60,53,-60,-53
2024-10-31 08:00:00+03:00,28.608365049637626,18.42848366721372,10.179881382423908,False,False,False,False,False,False,False,False,False,False,False,False,7.428488549643298,True,False,60,53,-60,-53
2024-10-31 12:00:00+03:00,30.91565094232221,23.814980743197832,7.100670199124377,False,False,False,False,False,False,False,False,False,False,True,False,2.3072858926845825,True,False,60,53,-60,-53
2024-10-31 16:00:00+03:00,26.678983593430488,26.845719021346163,-0.16673542791567542,False,True,False,False,False,False,False,False,False,False,False,True,-4.2366673488917215,False,True,60,53,-60,-53
2024-11-01 08:00:00+03:00,32.05710403549961,29.565025905222484,2.492078130277129,True,False,False,False,False,False,False,False,False,False,True,False,5.378120442069125,True,False,60,53,-60,-53
2024-11-01 12:00:00+03:00,22.290010371664366,27.985437235729172,-5.695426864064807,False,True,False,False,False,False,False,False,False,False,False,False,-9.767093663835247,False,True,60,53,-60,-53
2024-11-01 16:00:00+03:00,9.777825821775254,22.70098095559243,-12.923155133817177,False,False,False,False,False,False,False,False,False,False,False,False,-12.512184549889112,False,True,60,53,-60,-53
2024-11-04 08:00:00+03:00,-6.551104981096479,14.393458811960688,-20.944563793057167,False,False,False,False,False,False,False,False,False,False,False,False,-16.32893080287173,False,True,60,53,-60,-53
2024-11-04 12:00:00+03:00,-20.277317526974194,1.3098534213422361,-21.58717094831643,False,False,False,False,False,False,False,False,False,False,False,False,-13.726212545877715,False,True,60,53,-60,-53
2024-11-04 16:00:00+03:00,-28.840759826178065,-11.472839128118371,-17.36792069805969,False,False,False,False,False,False,False,False,False,False,False,False,-8.56344229920387,False,True,60,53,-60,-53
2024-11-05 08:00:00+03:00,-35.51968166904834,-22.79721600082427,-12.722465668224068,False,False,False,False,False,False,False,False,False,False,False,False,-6.678921842870274,False,True,60,53,-60,-53
2024-11-05 12:00:00+03:00,-40.69160215317071,-31.33234029384283,-9.359261859327884,False,False,False,False,False,False,False,False,False,False,False,False,-5.171920484122374,False,True,60,53,-60,-53
2024-11-05 16:00:00+03:00,-43.58525753918831,-37.159325296896355,-6.425932242291957,False,False,False,False,False,False,False,False,False,False,False,True,-2.893655386017599,False,True,60,53,-60,-53
2024-11-06 08:00:00+03:00,-40.57768962519264,-40.09355774665,-0.48413187854264095,False,False,False,False,False,False,False,False,False,False,False,False,3.007567913995672,True,False,60,53,-60,-53
2024-11-06 12:00:00+03:00,-30.876620221491827,-38.93279238476087,8.056172163269046,True,False,False,False,False,False,False,False,False,False,False,False,9.701069403700814,True,False,60,53,-60,-53
2024-11-06 16:00:00+03:00,-21.851100017450534,-34.22266685083083,12.371566833380292,False,False,False,False,False,False,False,False,False,False,False,False,9.025520204041293,True,False,60,53,-60,-53
2024-11-07 08:00:00+03:00,-13.89154886011266,-26.799239681061913,12.907690820949252,False,False,False,False,False,False,False,False,False,False,False,False,7.959551157337874,True,False,60,53,-60,-53
2024-11-07 12:00:00+03:00,-7.014109800929484,-18.408344724996127,11.394234924066643,False,False,False,False,False,False,False,False,False,False,False,False,6.877439059183176,True,False,60,53,-60,-53
2024-11-07 16:00:00+03:00,-1.624058262666737,-11.095204235289854,9.471145972623116,False,False,False,False,False,False,False,False,False,False,True,False,5.390051538262747,True,False,60,53,-60,-53
2024-11-08 08:00:00+03:00,-7.371425094561618,-7.4752855045676245,0.1038604100060061,False,False,False,False,False,False,False,False,False,False,False,False,-5.747366831894881,False,True,60,53,-60,-53
2024-11-08 12:00:00+03:00,-11.76510075200308,-6.94367347754023,-4.821427274462851,False,True,False,False,False,False,False,False,False,False,False,False,-4.393675657441462,False,True,60,53,-60,-53
2024-11-08 16:00:00+03:00,-17.43356811055446,-9.548538054946475,-7.885030055607986,False,False,False,False,False,False,False,False,False,False,False,False,-5.66846735855138,False,True,60,53,-60,-53
2024-11-11 08:00:00+03:00,-22.426524139361018,-14.749154524120044,-7.677369615240973,False,False,False,False,False,False,False,False,False,False,False,False,-4.992956028806557,False,True,60,53,-60,-53
2024-11-11 12:00:00+03:00,-28.92002383621112,-20.13630420953242,-8.7837196266787,False,False,False,False,False,False,False,False,False,False,False,False,-6.493499696850101,False,True,60,53,-60,-53
2024-11-11 16:00:00+03:00,-34.04563442521564,-25.70643762783556,-8.33919679738008,False,False,False,False,False,False,False,False,False,False,False,False,-5.12561058900452,False,True,60,53,-60,-53
2024-11-12 08:00:00+03:00,-38.1003220934986,-30.873126123571595,-7.227195969927003,False,False,False,False,False,False,False,False,False,False,False,False,-4.054687668282959,False,True,60,53,-60,-53
2024-11-12 12:00:00+03:00,-40.68972060987312,-35.43892524119962,-5.250795368673501,False,False,False,False,False,False,False,False,False,False,False,False,-2.589398516374523,False,True,60,53,-60,-53
2024-11-12 16:00:00+03:00,-42.505133712834045,-38.83520271035535,-3.669931002478698,False,False,False,False,False,False,False,False,False,False,False,False,-1.8154131029609246,False,True,60,53,-60,-53
2024-11-13 08:00:00+03:00,-46.282302460822805,-41.89436971925714,-4.387932741565663,False,False,False,False,False,False,False,False,False,False,False,False,-3.7771687479887603,False,True,60,53,-60,-53
2024-11-13 12:00:00+03:00,-49.345547353283614,-44.7056760342034,-4.639871319080214,False,False,False,False,False,False,False,False,False,False,False,False,-3.0632448924608084,False,True,60,53,-60,-53
2024-11-13 16:00:00+03:00,-49.63455449334728,-46.94188450507194,-2.692669988275341,False,False,False,False,False,False,False,False,False,False,False,False,-0.2890071400636671,False,True,60,53,-60,-53
2024-11-14 08:00:00+03:00,-49.78922707828015,-48.762907846433464,-1.026319231846685,False,False,False,False,False,False,False,False,False,False,False,False,-0.15467258493286806,False,True,60,53,-60,-53
2024-11-14 12:00:00+03:00,-49.87444575938914,-49.660943671075046,-0.2135020883140939,False,False,False,False,False,False,False,False,False,False,False,False,-0.08521868110899078,False,True,60,53,-60,-53
2024-11-14 16:00:00+03:00,-50.08328491775075,-49.84537806219183,-0.23790685555892566,False,False,False,False,False,False,False,False,False,False,False,True,-0.20883915836161293,False,True,60,53,-60,-53
2024-11-15 08:00:00+03:00,-49.78735317090602,-49.88357773158151,0.09622456067548768,True,False,False,False,False,False,False,False,False,False,True,False,0.29593174684472956,True,False,60,53,-60,-53
2024-11-15 12:00:00+03:00,-50.30494714447836,-50.01250774813107,-0.2924393963472909,False,True,False,False,False,False,False,False,False,False,False,False,-0.5175939735723389,False,True,60,53,-60,-53
2024-11-15 16:00:00+03:00,-50.675069399387354,-50.21266365813062,-0.46240574125673106,False,False,False,False,False,False,False,False,False,False,False,False,-0.370122254908992,False,True,60,53,-60,-53
2024-11-18 08:00:00+03:00,-51.74558651415289,-50.628239057231156,-1.1173474569217348,False,False,False,False,False,False,False,False,False,False,False,False,-1.0705171147655363,False,True,60,53,-60,-53
2024-11-18 12:00:00+03:00,-53.072133726125166,-51.44943419603594,-1.6226995300892284,False,False,False,True,False,False,False,False,False,False,False,False,-1.3265472119722759,False,True,60,53,-60,-53
2024-11-18 16:00:00+03:00,-53.354164988055324,-52.21173865693018,-1.1424263311251437,False,False,False,True,False,False,False,False,False,False,False,True,-0.2820312619301575,False,True,60,53,-60,-53
2024-11-19 08:00:00+03:00,-52.42307943107609,-52.64874116485237,0.22566173377627763,True,False,False,False,False,False,False,False,False,False,True,False,0.9310855569792338,True,False,60,53,-60,-53
2024-11-19 12:00:00+03:00,-54.36888950194605,-53.30456691180066,-1.0643225901453874,False,True,False,True,False,False,False,False,False,False,False,False,-1.9458100708699604,False,True,60,53,-60,-53
2024-11-19 16:00:00+03:00,-56.66717878758843,-54.203328177166476,-2.4638506104219573,False,False,False,True,False,False,False,False,False,False,False,False,-2.298289285642383,False,True,60,53,-60,-53
2024-11-20 08:00:00+03:00,-57.06280750651091,-55.13048880678038,-1.93231869973053,False,False,False,True,False,False,False,False,False,False,False,False,-0.39562871892247387,False,True,60,53,-60,-53
2024-11-20 12:00:00+03:00,-58.61545775088055,-56.67858338673149,-1.9368743641490624,False,False,False,True,False,False,False,False,False,False,False,False,-1.5526502443696444,False,True,60,53,-60,-53
2024-11-20 16:00:00+03:00,-60.87143171907741,-58.30421894101433,-2.5672127780630802,False,False,False,True,False,True,False,False,False,False,False,False,-2.255973968196855,False,True,60,53,-60,-53
2024-11-21 08:00:00+03:00,-62.56877829624532,-59.77961881817855,-2.7891594780667717,False,False,False,True,False,True,False,False,False,False,False,True,-1.697346577167913,False,True,60,53,-60,-53
2024-11-21 12:00:00+03:00,-60.688510491773705,-60.68604456449424,-0.0024659272794664844,False,False,False,True,False,True,False,False,False,False,False,False,1.8802678044716146,True,False,60,53,-60,-53
2024-11-21 16:00:00+03:00,-58.19018043494936,-60.579725235511454,2.389544800562092,True,False,False,True,False,False,True,False,False,False,False,False,2.4983300568243436,True,False,60,53,-60,-53
2024-11-22 08:00:00+03:00,-54.56482166867726,-59.00307272291141,4.438251054234151,False,False,False,True,False,False,False,False,False,False,False,False,3.6253587662721003,True,False,60,53,-60,-53
2024-11-22 12:00:00+03:00,-51.28488411761855,-56.18209917825472,4.897215060636164,False,False,False,False,False,False,False,False,False,False,False,False,3.2799375510587083,True,False,60,53,-60,-53
2024-11-22 16:00:00+03:00,-46.83855987774075,-52.71961152474648,5.881051647005734,False,False,False,False,False,False,False,False,False,False,False,False,4.446324239877804,True,False,60,53,-60,-53
2024-11-25 08:00:00+03:00,-28.117996953232637,-45.2015656543173,17.083568701084662,False,False,False,False,False,False,False,False,False,False,False,False,18.720562924508112,True,False,60,53,-60,-53
2024-11-25 12:00:00+03:00,-14.115045420012411,-35.08912159215109,20.974076172138677,False,False,False,False,False,False,False,False,False,False,False,False,14.002951533220227,True,False,60,53,-60,-53
2024-11-25 16:00:00+03:00,-2.732817845265741,-22.951105024062883,20.21828717879714,False,False,False,False,False,False,False,False,False,False,False,False,11.38222757474667,True,False,60,53,-60,-53
2024-11-26 08:00:00+03:00,4.146818116446738,-10.204760525516013,14.351578641962751,False,False,False,False,False,False,False,False,False,False,False,False,6.879635961712479,True,False,60,53,-60,-53
2024-11-26 12:00:00+03:00,6.918192563530917,-1.445713146325124,8.363905709856041,False,False,False,False,False,False,False,False,False,False,False,False,2.7713744470841792,True,False,60,53,-60,-53
2024-11-26 16:00:00+03:00,8.910345896661108,4.310634682843256,4.5997112138178515,False,False,False,False,False,False,False,False,False,False,False,False,1.9921533331301902,True,False,60,53,-60,-53
2024-11-27 08:00:00+03:00,16.369356738339437,9.08617832874455,7.283178409594887,False,False,False,False,False,False,False,False,False,False,False,False,7.45901084167833,True,False,60,53,-60,-53
2024-11-27 12:00:00+03:00,22.84774326955928,13.761409617022686,9.086333652536595,False,False,False,False,False,False,False,False,False,False,False,False,6.478386531219844,True,False,60,53,-60,-53
2024-11-27 16:00:00+03:00,26.765227903233363,18.723168451948297,8.042059451285066,False,False,False,False,False,False,False,False,False,False,False,False,3.917484633674082,True,False,60,53,-60,-53
2024-11-28 08:00:00+03:00,27.5629888530716,23.386329191050923,4.176659662020679,False,False,False,False,False,False,False,False,False,False,False,False,0.7977609498382385,True,False,60,53,-60,-53
2024-11-28 12:00:00+03:00,28.202941006663274,26.344725258131877,1.8582157485313964,False,False,False,False,False,False,False,False,False,False,True,False,0.6399521535916719,True,False,60,53,-60,-53
2024-11-28 16:00:00+03:00,27.430338132505142,27.490373973868344,-0.06003584136320228,False,True,False,False,False,False,False,False,False,False,False,True,-0.7726028741581317,False,True,60,53,-60,-53
2024-11-29 08:00:00+03:00,33.38226161918162,29.144632402855407,4.237629216326212,True,False,False,False,False,False,False,False,False,False,False,False,5.951923486676478,True,False,60,53,-60,-53
2024-11-29 12:00:00+03:00,37.025576916030104,31.510279418595033,5.515297497435071,False,False,False,False,False,False,False,False,False,False,True,False,3.6433152968484848,True,False,60,53,-60,-53
2024-11-29 16:00:00+03:00,36.78420778975402,33.655596114367725,3.1286116753862956,False,False,False,False,False,False,False,False,False,False,False,False,-0.24136912627608353,False,True,60,53,-60,-53
2024-12-02 08:00:00+03:00,32.40644967715489,34.89962400053016,-2.4931743233752712,False,True,False,False,False,False,False,False,False,False,False,False,-4.377758112599132,False,True,60,53,-60,-53
2024-12-02 12:00:00+03:00,26.83503739834376,33.26281794532069,-6.42778054697693,False,False,False,False,False,False,False,False,False,False,False,False,-5.5714122788111275,False,True,60,53,-60,-53
2024-12-02 16:00:00+03:00,22.928258979716187,29.738488461242213,-6.810229481526026,False,False,False,False,False,False,False,False,False,False,False,True,-3.9067784186275745,False,True,60,53,-60,-53
2024-12-03 08:00:00+03:00,29.269266363615777,27.859753104707654,1.4095132589081238,True,False,False,False,False,False,False,False,False,False,False,False,6.341007383899591,True,False,60,53,-60,-53
2024-12-03 12:00:00+03:00,35.14770452328709,28.545066816240702,6.602637707046387,False,False,False,False,False,False,False,False,False,False,False,False,5.878438159671312,True,False,60,53,-60,-53
2024-12-03 16:00:00+03:00,38.32451794041942,31.41743695175962,6.9070809886598,False,False,False,False,False,False,False,False,False,False,False,False,3.1768134171323297,True,False,60,53,-60,-53
2024-12-04 08:00:00+03:00,39.23710646318987,35.49464882262804,3.742457640561831,False,False,False,False,False,False,False,False,False,False,True,False,0.9125885227704487,True,False,60,53,-60,-53
2024-12-04 12:00:00+03:00,38.07621609613882,37.696386255758796,0.379829840380026,False,False,False,False,False,False,False,False,False,False,False,True,-1.1608903670510458,False,True,60,53,-60,-53
2024-12-04 16:00:00+03:00,39.48931925584106,38.78178993889729,0.70752931694377,False,False,False,False,False,False,False,False,False,False,False,False,1.4131031597022385,True,False,60,53,-60,-53
2024-12-05 08:00:00+03:00,47.520878852859305,41.080880167007265,6.439998685852039,False,False,False,False,False,False,False,False,False,False,False,False,8.031559597018244,True,False,60,53,-60,-53
2024-12-05 12:00:00+03:00,49.79726286656246,43.72091926785041,6.07634359871205,False,False,False,False,False,False,False,False,False,False,False,False,2.276384013703158,True,False,60,53,-60,-53
2024-12-05 16:00:00+03:00,51.473299401824804,47.07019009427191,4.403109307552896,False,False,False,False,False,False,False,False,False,False,False,False,1.676036535262341,True,False,60,53,-60,-53
2024-12-06 08:00:00+03:00,53.5648959716554,50.589084273225495,2.975811698429908,False,False,True,False,False,False,False,False,False,False,True,False,2.0915965698305996,True,False,60,53,-60,-53
2024-12-06 12:00:00+03:00,53.06835502192697,51.975953315492404,1.0924017064345648,False,False,True,False,False,False,False,False,False,False,False,False,-0.4965409497284341,False,True,60,53,-60,-53
2024-12-06 16:00:00+03:00,51.58561619795276,52.42304164833998,-0.8374254503872223,False,True,False,False,False,False,False,False,False,False,False,True,-1.4827388239742092,False,True,60,53,-60,-53
2024-12-09 08:00:00+03:00,52.45755563122196,52.669105705689276,-0.21155007446731844,False,False,False,False,False,False,False,False,False,False,False,False,0.8719394332691977,True,False,60,53,-60,-53
2024-12-09 12:00:00+03:00,54.83947749768339,52.98775108719627,1.8517264104871174,True,False,True,False,False,False,False,False,False,False,False,False,2.3819218664614326,True,False,60,53,-60,-53
2024-12-09 16:00:00+03:00,55.83751748748562,53.680041703585935,2.1574757838996845,False,False,True,False,False,False,False,False,False,False,False,False,0.9980399898022299,True,False,60,53,-60,-53
2024-12-10 08:00:00+03:00,58.68144362909951,55.45399856137262,3.22744506772689,False,False,True,False,False,False,False,False,False,False,True,False,2.843926141613892,True,False,60,53,-60,-53
2024-12-10 12:00:00+03:00,57.190791460745444,56.63730751875349,0.5534839419919564,False,False,True,False,False,False,False,False,False,False,False,False,-1.4906521683540674,False,True,60,53,-60,-53
2024-12-10 16:00:00+03:00,52.944297973390064,56.16351263768016,-3.2192146642900923,False,True,False,False,False,False,False,False,False,False,False,True,-4.24649348735538,False,True,60,53,-60,-53
2024-12-11 08:00:00+03:00,54.968559197452,55.94627306517175,-0.9777138677197499,False,False,True,False,False,False,False,False,False,False,True,False,2.024261224061938,True,False,60,53,-60,-53
2024-12-11 12:00:00+03:00,54.58235108363271,54.921499928805055,-0.3391488451723461,False,False,True,False,False,False,False,False,False,False,False,False,-0.38620811381929343,False,True,60,53,-60,-53
2024-12-11 16:00:00+03:00,51.03778224501615,53.38324762487274,-2.3454653798565843,False,False,False,False,False,False,False,False,False,False,False,False,-3.5445688386165557,False,True,60,53,-60,-53
2024-12-12 08:00:00+03:00,45.59639410933627,51.54627165885929,-5.949877549523016,False,False,False,False,False,False,False,False,False,False,False,False,-5.44138813567988,False,True,60,53,-60,-53
2024-12-12 12:00:00+03:00,35.92249403366546,46.78475536791265,-10.862261334247194,False,False,False,False,False,False,False,False,False,False,False,False,-9.673900075670815,False,True,60,53,-60,-53
2024-12-12 16:00:00+03:00,22.703062635302242,38.814933255830034,-16.111870620527792,False,False,False,False,False,False,False,False,False,False,False,False,-13.219431398363216,False,True,60,53,-60,-53
2024-12-13 08:00:00+03:00,10.373643977551687,28.648898688963914,-18.275254711412227,False,False,False,False,False,False,False,False,False,False,False,False,-12.329418657750555,False,True,60,53,-60,-53
2024-12-13 12:00:00+03:00,1.068209501376181,17.516852536973893,-16.448643035597712,False,False,False,False,False,False,False,False,False,False,False,False,-9.305434476175506,False,True,60,53,-60,-53
2024-12-13 16:00:00+03:00,-6.724484257847396,6.855107964095678,-13.579592221943074,False,False,False,False,False,False,False,False,False,False,False,True,-7.792693759223577,False,True,60,53,-60,-53
2024-12-16 08:00:00+03:00,-4.753134257397044,-0.008941259079143116,-4.744192998317901,False,False,False,False,False,False,False,False,False,False,True,False,1.971350000450352,True,False,60,53,-60,-53
2024-12-16 12:00:00+03:00,-9.961240896607524,-5.092662477618946,-4.868578418988578,False,False,False,False,False,False,False,False,False,False,False,False,-5.20810663921048,False,True,60,53,-60,-53
2024-12-16 16:00:00+03:00,-15.040910988209369,-9.119942600015333,-5.920968388194035,False,False,False,False,False,False,False,False,False,False,False,False,-5.0796700916018445,False,True,60,53,-60,-53
2024-12-17 08:00:00+03:00,-23.85141246956436,-13.401674652944575,-10.449737816619784,False,False,False,False,False,False,False,False,False,False,False,False,-8.81050148135499,False,True,60,53,-60,-53
2024-12-17 12:00:00+03:00,-30.870245697281447,-19.930952512915674,-10.939293184365773,False,False,False,False,False,False,False,False,False,False,False,False,-7.018833227717089,False,True,60,53,-60,-53
